Key,Id,Chinese (Simplified)(zh-CN),English(en),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es)
"l1e3 8",39858674060124185,"她需要特别的照顾。她会观察别人吃什么，然后点一样的菜。","She needs a special approach.<pause:0.75> She looks at what others are eating and orders the same thing.","Elle a besoin d'une approche particulière. Elle regarde ce que les autres mangent et commande la même chose.","Sie braucht eine besondere Herangehensweise. Sie schaut, was die anderen essen, und bestellt dasselbe.","Ela precisa de uma abordagem especial. Ela observa o que os outros estão comendo e pede a mesma coisa.","К ней нужен особый подход,<pause:0.75> она меняет свой заказ на то, что едят другие.","Ella necesita un enfoque especial.<pause:0.75> Ella mira lo que están comiendo los demás y pide lo mismo."
"l1e3 9",39858674060124186,"它可怜的家伙总是疑神疑鬼。","The poor thing tends to doubt.","La pauvre a tendance à douter.","Das arme Ding neigt zum Zweifeln.","Coitadinha, tende a duvidar.","Бедняжке свойственно сомневаться.","La pobre tiende a dudar."
"l1e3 10",39858674060124187,"好了。<pause:0.75> 人人有冰淇淋！<pause:0.75> 而且我连汗都没出！","There we go.<pause:0.75> Ice cream for everyone!<pause:0.75> And I didn't even break a sweat!","Et voilà !<pause:0.75> De la glace pour tout le monde !<pause:0.75> Et je n'ai même pas transpiré !","So, jetzt geht's los.<pause:0.75> Eis für alle!<pause:0.75> Und ich bin nicht mal ins Schwitzen gekommen!","Pronto!<pause:0.75> Sorvete para todos!<pause:0.75> E eu nem suei!","Так-то.<pause:0.75> Всем по мороженке!<pause:0.75> Даже не вспотел!","Allá vamos.<pause:0.75> ¡Helado para todos!<pause:0.75> ¡Y ni siquiera sudé!"
"l1e3 11",39858674060124188,"<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","__MARCADOR_0__..."
"l1e3 12",39858674060124189,"Yarr，<pause:0.75>，一切都好吗，年轻的水手？","Yarr,<pause:0.75> is everything alright, young sailor?","Yarr,<pause:0.75> tout va bien, jeune marin ?","Yarr, ist alles in Ordnung, junger Seemann?","Yarr,<pause:0.75>, está tudo bem, jovem marinheiro?","Йарр,<pause:0.75> все хорошо, юнга?","Yarr,<pause:0.75> ¿está todo bien, joven marinero?"
"l1e3 13",39858674060124190,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 我只想说声谢谢！<pause:0.5> 你非常有耐心。","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> I just wanted to say thank you!<pause:0.5> You were very patient.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Je voulais juste vous remercier !<pause:0.5> Vous avez été très patient.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ich wollte mich nur bedanken!<pause:0.5> Sie waren sehr geduldig.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Eu só queria agradecer!<pause:0.5> Você foi muito paciente.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Я хотела сказать спасибо!<pause:0.5> Вы были очень терпеливы.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> ¡Solo quería darte las gracias!<pause:0.5> Fuiste muy paciente."
"l1e3 14",39858674060124191,"通常情况下，当我有很多疑虑时，大人就会骂人。","Usually adults swear when I doubt a lot.","En général, les adultes jurent quand j'ai beaucoup de doutes.","Normalerweise fluchen Erwachsene, wenn ich große Zweifel habe.","Normalmente, os adultos xingam quando eu duvido de muita coisa.","Обычно взрослые ругаются, когда я много сомневаюсь в своем выборе.","Generalmente los adultos dicen malas palabras cuando tengo muchas dudas."
"l1e3 15",39858674060124192,"Yarr,<pause:0.5> 别担心，年轻的水手,<pause:0.5> 随时欢迎回来！","Yarr,<pause:0.5> don't you worry, young sailor,<pause:0.5> and come back anytime!","Yarr,<pause:0.5> ne t'inquiète pas, jeune marin,<pause:0.5> et reviens quand tu veux !","Yarr, keine Sorge, junger Seemann, komm jederzeit wieder!","Yarr,<pause:0.5> não se preocupe, jovem marinheiro,<pause:0.5> e volte quando quiser!","Йарр,<pause:0.5> не переживай, юнга,<pause:0.5> и приходи еще!","¡Yarr,<pause:0.5> no te preocupes, joven marinero,<pause:0.5> y vuelve cuando quieras!"
"l1e3 16",39858674060124193,"你太棒了！","You're awesome!","Tu es génial !","Du bist großartig!","Você é incrível!","Вы крутой!","¡Eres increíble!"
"l1e3 17",39858674060124194,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 嗯，<pause:0.75> 也许今天<pause:0.75> 也没那么糟糕。","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> maybe this day<pause:0.75> isn't so bad after all.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> peut-être que cette journée<pause:0.75> n'est pas si mauvaise après tout.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> vielleicht ist dieser Tag<pause:0.75> doch nicht so schlimm.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> talvez este dia<pause:0.75> não seja tão ruim afinal.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Хм,<pause:0.75> а этот день<pause:0.75> не так уж и плох.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> tal vez este día<pause:0.75> no sea tan malo después de todo."
"l1e3 18",39858674060124195,"嘿，<pause:0.5> 红，<pause:0.5> 来吧，<pause:0.5> 我们需要谈谈。","Hey,<pause:0.5> Red,<pause:0.5> come on,<pause:0.5> we need to talk.","Hé,<pause:0.5> Rouge,<pause:0.5> allez,<pause:0.5> on doit parler.","Hey, Red, komm schon, wir müssen reden.","Ei, <pause:0.5> Vermelho, <pause:0.5> vamos lá, <pause:0.5> precisamos conversar.","Эй,<pause:0.5> Рыжий,<pause:0.5> пойдем,<pause:0.5> надо обсудить кое-что.","Oye,<pause:0.5> Rojo,<pause:0.5> vamos,<pause:0.5> necesitamos hablar."
"l1e4 1",39858674060124196,"嗨，Red。","Hi, Red.","Embauché.","Hallo, Red.","Contratado.","Привет, Рыжий.","Contratado."
"l1e4 2",39858674060124197,"嗨，斯坦。","Hi, Stan.","Salut Stan.","Hallo Stan.","Olá, Stan.","Привет, Стэн.","Hola, Stan."
"l1e4 3",39858674060124198,"我的眼睛位置比较低。","My eyes are lower.","Mes yeux sont plus bas.","Meine Augen sitzen tiefer.","Meus olhos estão mais baixos.","Мои глаза ниже.","Mis ojos están más abajo."
"l1e4 4",39858674060124199,"哦。","Oh.","Oh.","Oh.","Oh.","Ой.","Oh."
"l1e4 5",39858674060124200,"是的，<pause:0.75> 这样好多了。","Yeah,<pause:0.75> that's better.","Ouais,<pause:0.75> c'est mieux.","Ja, <pause:0.75> ist besser.","Sim,<pause:0.75> isso é melhor.","Да,<pause:0.75> так лучше.","Sí,<pause:0.75> eso está mejor."
"l1e4 6",39858674060124201,"所以你想要什么？","So what did you want?","Alors, que vouliez-vous ?","Was wollten Sie also?","Então, o que você queria?","Так ты чего хотел?","Entonces ¿qué querías?"
"l1e4 7",39858674060124202,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 我马上要去餐厅。","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> I have to go out into the dining area in a minute.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Je dois aller dans la salle à manger dans une minute.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ich muss gleich in den Essbereich gehen.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Preciso ir até a área de jantar em um minuto.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Мне сейчас придется выйти в зал.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Tengo que salir al comedor en un minuto."
"l1e4 8",39858674060124203,"什么？！__占位符0__ 不！__占位符1__ 我反对！","What?!<pause:0.75> No!<pause:0.75> I object!","Quoi ?!<pause:0.75> Non !<pause:0.75> Je m'y oppose !","Was?!<pause:0.75> Nein!<pause:0.75> Ich erhebe Einspruch!","O quê?!<pause:0.75> Não!<pause:0.75> Eu me oponho!","Что?!<pause:0.75> Нет!<pause:0.75> Я против!","¡¿Qué?!<pause:0.75> ¡No!<pause:0.75> ¡Me opongo!"
"l1e4 9",39858674060124204,"船长说如果我不照做，他就把我喂鱼<pause:0.5>。","The Captain said he'd have me fed to the fish<pause:0.5> if I don't do it.","Le capitaine a dit qu'il me donnerait en pâture aux poissons<pause:0.5> si je ne le faisais pas.","Der Kapitän sagte, er würde mich den Fischen zum Fraß vorwerfen lassen, wenn ich es nicht tue.","O capitão disse que me daria de comer aos peixes se eu não o fizesse.","Капитан сказал, что пустит меня на корм рыбам,<pause:0.5> если я этого не сделаю.","El capitán dijo que me arrojaría a la basura si no lo hacía."
"l1e4 10",39858674060124205,"我不太确定这用通俗易懂的英语来说是什么意思，<pause:0.5>，但我确信这不是什么好事。","I'm not entirely sure what that means in plain English,<pause:0.5> but I'm certain it's nothing good.","Je ne suis pas tout à fait sûr de ce que cela signifie en termes simples, mais je suis certain que ce n'est rien de bon.","Ich bin mir nicht ganz sicher, was das in einfachen Worten bedeutet, aber ich bin mir sicher, dass es nichts Gutes ist.","Não tenho certeza do que isso significa em termos simples, mas tenho certeza de que não é nada bom.","Я не знаю, что это именно значит в переводе на нормальный,<pause:0.5> но наверняка ничего хорошего.","No estoy completamente seguro de qué significa eso en inglés sencillo,<pause:0.5> pero estoy seguro de que no es nada bueno."
"l1e4 11",39858674060124206,"但孩子们都非常喜欢独腿乔！","But the kids go crazy for Peg-Leg Joe!","Mais les enfants adorent Joe à la jambe de bois !","Aber die Kinder sind ganz verrückt nach Peg-Leg Joe!","Mas as crianças ficam loucas pelo Joe Perneta!","Но дети без ума от Хромого Джо!","¡Pero los niños se vuelven locos por Peg-Leg Joe!"
"l1e4 12",39858674060124207,"如果他们看到你穿这身衣服，他们会把这里拆得七零八落的！","They'll tear this place apart if they see you in the costume!","Ils vont tout saccager s'ils te voient déguisé !","Die werden diesen Laden verwüsten, wenn sie dich in dem Kostüm sehen!","Eles vão destruir este lugar se te virem com a fantasia!","Они здесь все разнесут, если увидят тебя в костюме!","¡Destrozarán este lugar si te ven con ese disfraz!"
"l1e4 13",39858674060124208,"我应付不了那么多顾客！","I won't be able to handle that many customers!","Je ne pourrai pas gérer autant de clients !","Ich werde nicht in der Lage sein, so viele Kunden zu bedienen!","Não vou conseguir atender tantos clientes!","Я не смогу обслужить столько народу!","¡No podré atender a tantos clientes!"
"l1e4 14",39858674060124209,"我们至少需要三个人在收银台工作才能跟上进度！","We need at least three people on the register to keep up!","Il nous faut au moins trois personnes à la caisse pour pouvoir suivre le rythme !","Wir brauchen mindestens drei Personen an der Kasse, um den Betrieb aufrechtzuerhalten!","Precisamos de pelo menos três pessoas no caixa para dar conta da demanda!","За кассой должно работать хотя бы трое, чтобы мы могли потянуть это!","¡Necesitamos al menos tres personas en el registro para mantener el ritmo!"
"l1e4 15",39858674060124210,"今天我一个人！<pause:0.75> 还记得上次发生了什么吗！","And I'm on my own today!<pause:0.75> Remember what happened last time!","Et je suis tout seul aujourd'hui !<pause:0.75> Souvenez-vous de ce qui s'est passé la dernière fois !","Und heute bin ich auf mich allein gestellt!<pause:0.75> Erinnert euch, was letztes Mal passiert ist!","E hoje estou sozinha!<pause:0.75> Lembra o que aconteceu da última vez!","А я сегодня один!<pause:0.75> Вспомни, что было в прошлый раз!","¡Y hoy estoy solo!<pause:0.75> ¡Recuerda lo que pasó la última vez!"
"l1e4 16",39858674060124211,"我知道。所以我才来和你谈谈这件事。","I know.<pause:0.75> That's why I came to talk it through.","Je sais.<pause:0.75> C'est pourquoi je suis venu en discuter.","Ich weiß. Deshalb bin ich ja gekommen, um darüber zu sprechen.","Eu sei.<pause:0.75> É por isso que vim conversar sobre isso.","Я знаю.<pause:0.75> Поэтому я пришел обсудить, что делать.","Lo sé.<pause:0.75> Por eso vine a hablarlo."
"l1e4 17",39858674060124212,"所以，<pause:0.5>，你真的有计划吗？","So,<pause:0.5> do you actually have a plan?","Alors,<pause:0.5>, avez-vous réellement un plan ?","Also,<pause:0.5>, haben Sie eigentlich einen Plan?","Então, você realmente tem um plano?","И что,<pause:0.5> у тебя уже есть идеи?","Entonces,<pause:0.5> ¿realmente tienes un plan?"
"l1e4 18",39858674060124213,"是的，<pause:0.5> 电影之夜。<pause:0.5> 你拉上窗帘，<pause:0.5> 打开投影仪，<pause:0.5> 我会确保每个人都保持安静。","Yes,<pause:0.5> movie night.<pause:0.5> You draw the curtains,<pause:0.5> turn on the projector,<pause:0.5> and I'll make sure everyone keeps it down.","Oui,<pause:0.5> soirée cinéma.<pause:0.5> Tu tires les rideaux,<pause:0.5> tu allumes le projecteur,<pause:0.5> et je veillerai à ce que tout le monde fasse moins de bruit.","Ja, Filmabend. Du ziehst die Vorhänge zu, du schaltest den Projektor ein, und ich sorge dafür, dass alle leise sind.","Sim, noite de cinema. Você fecha as cortinas, liga o projetor e eu garanto que todos façam silêncio.","Да,<pause:0.5> киновечер.<pause:0.5> Ты зашторишь окна,<pause:0.5> включишь проектор,<pause:0.5> а я буду убеждать прибывших вести себя потише.","Sí,<pause:0.5> noche de película.<pause:0.5> Tú corres las cortinas,<pause:0.5> enciendes el proyector,<pause:0.5> y yo me aseguraré de que todos mantengan el volumen bajo."
"l1e4 19",39858674060124214,"今晚看电影啊。","Movie night, huh.","Soirée cinéma, hein ?","Filmabend, hm.","Noite de cinema, hein?","Киновечер, говоришь.","Noche de película, ¿eh?"
"l1e4 20",39858674060124215,"这意味着我得负责晚间菜单和鸡尾酒了。这可不容易。","That means I'll have to take on the evening menu with the cocktails.<pause:0.75> That won't be easy.","Cela signifie que je vais devoir m'occuper du menu du soir avec les cocktails.<pause:0.75> Ce ne sera pas facile.","Das bedeutet, ich muss mich um die Abendkarte inklusive Cocktails kümmern. Das wird nicht einfach.","Isso significa que terei que assumir o menu noturno com os coquetéis.<pause:0.75> Isso não será fácil.","Придется взять на себя вечернее меню с коктейлями.<pause:0.75> Будет трудновато.","Eso significa que tendré que encargarme del menú de la noche con los cócteles.<pause:0.75> Eso no será fácil."
"l1e4 21",39858674060124216,"但这总比附近所有孩子同时跑过来要容易得多。","Still easier than if all the kids from all over the neighborhood come running here at once.","C'est quand même plus simple que si tous les enfants du quartier accouraient ici en même temps.","Immer noch einfacher, als wenn alle Kinder aus der ganzen Nachbarschaft gleichzeitig hierher gerannt kämen.","Ainda assim, é mais fácil do que se todas as crianças da vizinhança viessem correndo para cá ao mesmo tempo.","Все еще проще, чем, если сюда разом сбежится вся ребятня со всей округи.","Aún es más fácil que si todos los niños de todo el vecindario vinieran corriendo aquí a la vez."
"l1e4 22",39858674060124217,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 是的，<pause:0.5> 你说得对。<pause:0.75> 你真是个天才，斯坦。<pause:0.75> 我们开始吧。","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Yeah,<pause:0.5> you're right.<pause:0.75> You're a genius, Stan.<pause:0.75> Let's do it.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ouais,<pause:0.5> tu as raison.<pause:0.75> Tu es un génie, Stan.<pause:0.75> Faisons-le.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ja,<pause:0.5> du hast Recht.<pause:0.75> Du bist ein Genie, Stan.<pause:0.75> Los geht's.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> É,<pause:0.5> você tem razão.<pause:0.75> Você é um gênio, Stan.<pause:0.75> Vamos fazer isso.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Да,<pause:0.5> ты прав.<pause:0.75> Да ты гений, Стэн.<pause:0.75> Так и сделаем.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Sí,<pause:0.5> tienes razón.<pause:0.75> Eres un genio, Stan.<pause:0.75> Hagámoslo."
"l1e4 23",39858674060124218,"交易。","Deal.","Accord.","Handeln.","Negócio.","Договорились.","Trato."
"l1e5 1",39858674060124219,"好的，<pause:0.75>，我们来试试这个。<pause:1> 3，<pause:1> 2，<pause:1> 1，<pause:1> 开始！","Alright,<pause:0.75> let's try this.<pause:1> 3,<pause:1> 2<pause:1> 1.<pause:1> Go!","Très bien,<pause:0.75> essayons ceci.<pause:1> 3,<pause:1> 2<pause:1> 1.<pause:1> Allez !","Okay, versuchen wir es mal. Los!","Muito bem, vamos tentar isto. Vamos lá!","Хорошо,<pause:0.75> давай попробуем.<pause:1> 3,<pause:1> 2,<pause:1> 1.<pause:1> Поехали!","Muy bien,<pause:0.75> probemos esto.<pause:1> 3,<pause:1> 2<pause:1> 1.<pause:1> ¡Vamos!"
"l1e5 2",39858674060124220,"我的天哪，<pause:0.4>，是独腿乔！","Oh my gosh,<pause:0.4> it's Peg-Leg Joe!","Oh mon Dieu,<pause:0.4> c'est Joe à la jambe de bois !","Oh mein Gott, <pause:0.4> es ist Peg-Leg Joe!","Meu Deus,<pause:0.4> é o Joe Perna-de-Pau!","О боже,<pause:0.4> это же Хромой Джо!","Oh Dios mío,<pause:0.4> ¡es Peg-Leg Joe!"
"l1e5 3",39858674060124221,"耶，<pause:0.4> 独腿乔！<pause:0.4> 带我兜风！！！","Yay,<pause:0.4> Peg-Leg Joe!<pause:0.4> Give me a ride!!!","Hourra, Joe la Jambe de Bois ! Emmène-moi faire un tour !!!","Juhu, Peg-Leg Joe! Nimm mich mit!!!","Eba, Joe Perneta! Me dá uma carona!!!","Ура,<pause:0.4> Хромой Джо!<pause:0.4> Покатай меня!!!","Yay,<pause:0.4> ¡Joe Pata de Palo!<pause:0.4> ¡¡¡Dame un aventón!!!"
"l1e5 4",39858674060124222,"我也是！！！","Me too!!!","Moi aussi!!!","Ich auch!!!","Eu também!!!","И меня!!!","¡¡¡Yo también!!!"
"l1e5 5",39858674060124223,"Yarr！<pause:0.75> 独腿乔今天身体不太舒服，<pause:0.4> 所以我们还是保持沉默吧。","Yarr!<pause:0.75> Peg-Leg Joe isn't feeling his best today,<pause:0.4> so we're going to keep it quiet.","Yarr!<pause:0.75> Joe Jambe de Bois ne se sent pas au mieux de sa forme aujourd'hui,<pause:0.4> alors on va garder ça pour nous.","Arrr!<pause:0.75> Peg-Leg Joe fühlt sich heute nicht so gut,<pause:0.4> deshalb werden wir es geheim halten.","Arrr!<pause:0.75> O Joe Perneta não está se sentindo muito bem hoje,<pause:0.4> então vamos manter isso em segredo.","Йарр!<pause:0.75> Сегодня Хромой Джо себя не важно чувствует,<pause:0.4> так что шуметь мы сегодня не будем.","¡Sí!<pause:0.75> Peg-Leg Joe no se siente muy bien hoy,<pause:0.4> así que lo mantendremos en secreto."
"l1e5 6",39858674064318464,"哎呀，<pause:0.75>，这不公平！","Aww,<pause:0.75> that's not fair!","Oh,<pause:0.75> ce n'est pas juste !","Oh, das ist nicht fair!","Ah,<pause:0.75> isso não é justo!","Ну блииин!<pause:0.75> Не честно!","Awww,<pause:0.75> ¡eso no es justo!"
"l1e5 7",39858674064318465,"我以为我们会玩得很开心。","I thought we were going to have fun.","Je pensais qu'on allait s'amuser.","Ich dachte, wir würden Spaß haben.","Pensei que íamos nos divertir.","Я думал мы повеселимся.","Pensé que nos íbamos a divertir."
"l1e5 8",39858674064318466,"别担心，年轻的水手，我们不必大声喧哗也能玩得开心！","Don't worry, young sailor,<pause:0.75> we don't have to be loud to have fun!","Ne t'inquiète pas, jeune marin,<pause:0.75> on n'a pas besoin de faire du bruit pour s'amuser !","Keine Sorge, junger Matrose, wir müssen nicht laut sein, um Spaß zu haben!","Não se preocupe, jovem marinheiro, não precisamos fazer barulho para nos divertirmos!","Не переживай, юнга,<pause:0.75> нам не обязательно шуметь, чтобы веселиться!","No te preocupes, joven marinero, ¡no tenemos que ser ruidosos para divertirnos!"
"l1e5 9",39858674064318467,"例如，<pause:0.75> 我们可以看动画片！","For example,<pause:0.75> we could watch a cartoon!","Par exemple,<pause:0.75> nous pourrions regarder un dessin animé !","Zum Beispiel könnten wir uns einen Zeichentrickfilm ansehen!","Por exemplo, poderíamos assistir a um desenho animado!","Например,<pause:0.75> мы можем посмотреть мультик!","Por ejemplo,<pause:0.75> ¡podríamos ver una caricatura!"
"l1e5 10",39858674064318468,"动画片很好。","Cartoons are good.","Les dessins animés, c'est bien.","Cartoons sind gut.","Desenhos animados são bons.","Мультик - это хорошо.","Los dibujos animados son buenos."
"l1e5 11",39858674064318469,"只有有趣才行！","Only if it's interesting!","Seulement si c'est intéressant !","Nur wenn es interessant ist!","Só se for interessante!","Только, если интересный!","¡Sólo si es interesante!"
"l1e5 12",39858674064318470,"我希望里面有只海星……","I hope<pause:0.5> there's a starfish in it...","J'espère qu'il y a une étoile de mer dedans...","Ich hoffe, da ist ein Seestern drin...","Espero que haja uma estrela-do-mar nisso...","Надеюсь,<pause:0.5> в нем будет морская звезда...","Espero<pause:0.5> que haya una estrella de mar dentro..."
"l1e5 13",39858674064318471,"呀，当然有意思啦！不过我们会默默观察的。怎么样，小伙子们？","Yarr,<pause:0.75> of course it's interesting!<pause:0.75> But we'll be watching it quietly.<pause:0.5> Deal, young sailors?","Yarr,<pause:0.75> bien sûr que c'est intéressant !<pause:0.75> Mais nous allons le regarder discrètement.<pause:0.5> Marché conclu, jeunes marins ?","Arrr, natürlich ist das interessant! Aber wir werden es uns im Stillen ansehen. Abgemacht, junge Matrosen?","Yarr,<pause:0.75> claro que é interessante!<pause:0.75> Mas vamos assistir em silêncio.<pause:0.5> Combinado, jovens marinheiros?","Йарр,<pause:0.75> конечно, интересный!<pause:0.75> Но мы будем его смотреть в тишине.<pause:0.5> Договорились, юнги?","¡Yarr,<pause:0.75> por supuesto que es interesante!<pause:0.75> Pero lo estaremos viendo en silencio.<pause:0.5> ¿Trato hecho, jóvenes marineros?"
"l1e5 14",39858674064318472,"交易！","Deal!","Accord!","Handeln!","Negócio!","Договорились!","¡Trato!"
"l1e5 15",39858674064318473,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 成功了！<pause:0.75> 没有观众！","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> It worked!<pause:0.75> No crowd showed up!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ça a marché !<pause:0.75> Personne n'est venu !","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Es hat funktioniert!<pause:0.75> Es kam keine Zuschauermenge!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Funcionou!<pause:0.75> Ninguém apareceu!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Сработало!<pause:0.75> Никакой толпы не набежало!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> ¡Funcionó!<pause:0.75> ¡No apareció gente!"
"l1e5 16",39858674064318474,"早就跟你说了！<pause:0.75> 一个万无一失的计划！","Told you!<pause:0.75> A foolproof plan!","Je vous l'avais dit !<pause:0.75> Un plan infaillible !","Hab ich's doch gesagt!<pause:0.75> Ein narrensicherer Plan!","Eu te disse!<pause:0.75> Um plano infalível!","Я же говорил!<pause:0.75> План-капкан!","¡Te lo dije!<pause:0.75> ¡Un plan infalible!"
"l1e5 17",39858674064318475,"现在只剩最后一件事了。<pause:0.75> 回去工作！","Now there's only one thing left.<pause:0.75> Back to work!","Il ne reste plus qu'une chose à faire.<pause:0.75> Retour au travail !","Jetzt bleibt nur noch eins übrig.<pause:0.75> Zurück an die Arbeit!","Agora só falta uma coisa.<pause:0.75> De volta ao trabalho!","Дело остается за малым.<pause:0.75> За работу!","Ahora sólo queda una cosa.<pause:0.75> ¡De vuelta al trabajo!"
"l1e5 18",39858674064318476,"呼，<pause:0.5>年轻的水手们，<pause:0.5>还有谁想吃冰淇淋？","Phew,<pause:0.5> young sailors,<pause:0.5> who else wants some ice cream?","Ouf,<pause:0.5> jeunes marins,<pause:0.5> qui d'autre veut de la glace ?","Puh, junge Matrosen, wer möchte noch ein Eis?","Ufa, jovens marinheiros, quem mais quer um sorvete?","Фух,<pause:0.5> юнги,<pause:0.5> кому еще мороженое?","Ufff,<pause:0.5> jóvenes marineros,<pause:0.5> ¿quién más quiere un poco de helado?"
"l1e5 19",39858674064318477,"<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","__MARCADOR_0__..."
"l1e5 20",39858674064318478,"看起来<pause:0.5>你已经处理好一切了。","Looks like<pause:0.5> you already handled everything.","On dirait que vous avez déjà tout géré.","Sieht so aus, als hätten Sie bereits alles erledigt.","Parece que você já cuidou de tudo.","Кажется,<pause:0.5> ты переработал всю работу.","Parece que<pause:0.5> ya te encargaste de todo."
"l1e5 21",39858674064318479,"请您小声点好吗？","Could you please keep it down?","Pourriez-vous baisser le volume, s'il vous plaît ?","Könnten Sie bitte leiser sein?","Você poderia, por favor, falar mais baixo?","Можно, пожалуйста, потише?","¿Podrías mantenerlo en voz baja, por favor?"
"l1e5 22",39858674064318480,"<volume:1>我们正在尝试观看。","<volume:1>We're trying to watch.","<volume:1>Nous essayons de regarder.","<volume:1>Wir versuchen zuzusehen.","<volume:1>Estamos tentando assistir.","<volume:1>Мы тут вообще-то смотрим.","<volume:1>Estamos intentando mirar."
"l1e5 23",39858674064318481,"哦，<pause:0.5> 抱歉。","Oh,<pause:0.5> sorry.","Oh,<pause:0.5> désolé.","Oh,<pause:0.5> Entschuldigung.","Ah, desculpe.","Ой,<pause:0.5> извините.","Oh,<pause:0.5> lo siento."
"l1e5 24",39858674064318482,"哦，拜托！","Oh, come on!","Oh, allez !","Ach, komm schon!","Ah, qual é!","Ну, блииин!","¡Oh, vamos!"
"l1e5 25",39858674064318483,"嘿，<pause:0.5>，我们还没看完呢！","Hey,<pause:0.5> we weren't done watching!","Hé,<pause:0.5>, on n'avait pas fini de regarder !","Hey,<pause:0.5>, wir waren noch nicht fertig mit dem Zuschauen!","Ei, <pause:0.5> nós ainda não tínhamos terminado de assistir!","Эй,<pause:0.5> мы же не досмотрели!","Oye,<pause:0.5> ¡no habíamos terminado de mirar!"
"l1e5 26",39858674064318484,"<volume:0.5>呀！<pause:0.5>你们这些水兵在这里干什么？","<volume:0.5>Yarr!<pause:0.5> What do you think you're doing here, swabbies?","<volume:0.5>Yarr!<pause:0.5> Qu'est-ce que vous croyez faire ici, les matelots ?","<volume:0.5>Yarr!<pause:0.5> Was glaubt ihr eigentlich, was ihr hier tut, ihr Matrosen?","<volume:0.5>Yarr!<pause:0.5> O que vocês pensam que estão fazendo aqui, marinheiros?","<volume:0.5>Йарр!<pause:0.5> Вы что здесь устроили, салаги?","<volume:0.5>¡Yarr!<pause:0.5> ¿Qué creen que están haciendo aquí, marineros?"
"l1e5 27",39858674064318485,"我不是让你派独腿乔出去，而是让你留在这里！","I told you to send out Peg-Leg Joe, not for you to hang around here!","Je t'avais dit d'envoyer Peg-Leg Joe, pas de rester ici à traîner !","Ich habe dir gesagt, du sollst Peg-Leg Joe losschicken, nicht, dass du hier herumhängst!","Eu disse para você mandar o Joe Perneta, não para você ficar aqui parado!","Я сказал выпускать Хромого Джо, не для того, чтобы вы здесь прохлаждались!","¡Te dije que enviaras a Peg-Leg Joe, no que te quedaras aquí deambulando!"
