Key,Id,English(en),Russian(ru),Spanish(es),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Chinese (Simplified)(zh-CN)
l1e3 8,,"She needs a special approach.,<pause:0.75> she looks at what others are eating and orders the same thing.","К ней нужен особый подход,<pause:0.75> она меняет свой заказ на то, что едят другие.","Ella necesita un enfoque especial.,<pause:0.75> Ella mira lo que están comiendo los demás y pide lo mismo.",Elle a besoin d'une approche particulière. Elle regarde ce que les autres mangent et commande la même chose.,"Sie braucht eine besondere Herangehensweise. Sie schaut, was die anderen essen, und bestellt dasselbe.","Ela precisa de uma abordagem especial.,<pause:0.75> ela observa o que os outros estão comendo e pede a mesma coisa.",她需要特别的照顾。她会观察别人吃什么，然后点同样的菜。
l1e3 9,,The poor thing tends to doubt.,Бедняжке свойственно сомневаться.,La pobre tiende a dudar.,La pauvre a tendance à douter.,Das arme Ding neigt zum Zweifeln.,"Coitadinha, tende a duvidar.",它可怜的家伙总是疑神疑鬼。
l1e3 10,,There we go.<pause:0.75> Ice cream for everyone!<pause:0.75> And I didn’t even break a sweat!,Так-то.<pause:0.75> Всем по мороженке!<pause:0.75> Даже не вспотел!,Allá vamos.<pause:0.75> ¡Helado para todos!<pause:0.75> ¡Y ni siquiera sudé!,Et voilà !<pause:0.75> De la glace pour tout le monde !<pause:0.75> Et je n'ai même pas transpiré !,"So, da haben wir's.<pause:0.75> Eis für alle!<pause:0.75> Und ich bin nicht mal ins Schwitzen gekommen!",Pronto!<pause:0.75> Sorvete para todos!<pause:0.75> E eu nem suei!,好了。<pause:0.75> 人人有冰淇淋！<pause:0.75> 而且我连汗都没出！
l1e3 11,,<volume:0>...,<volume:0>...,__MARCADOR_0__...,<volume:0>...,<volume:0>...,<volume:0>...,<volume:0>...
l1e3 12,,"Yarr,<pause:0.75> is everything alright, young sailor?","Йарр,<pause:0.75> все хорошо, юнга?","Yarr,<pause:0.75> ¿está todo bien, joven marinero?","Yarr,<pause:0.75> tout va bien, jeune marin ?","Yarr, ist alles in Ordnung, junger Seemann?","Yarr,<pause:0.75>, está tudo bem, jovem marinheiro?",Yarr，<pause:0.75>，一切都好吗，年轻的水手？
l1e3 13,,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> I just wanted to say thank you!<pause:0.5> You were very patient.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Я хотела сказать спасибо!<pause:0.5> Вы были очень терпеливы.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> ¡Solo quería darte las gracias!<pause:0.5> Fuiste muy paciente.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Je voulais juste vous remercier !<pause:0.5> Vous avez été très patient.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ich wollte mich nur bedanken!<pause:0.5> Sie waren sehr geduldig.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Eu só queria agradecer!<pause:0.5> Você foi muito paciente.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 我只想说声谢谢！<pause:0.5> 你非常有耐心。
l1e3 14,,Usually adults swear when I doubt a lot.,"Обычно взрослые ругаются, когда я много сомневаюсь в своем выборе.",Generalmente los adultos dicen malas palabras cuando tengo muchas dudas.,"En général, les adultes jurent quand j'ai beaucoup de doutes.","Normalerweise fluchen Erwachsene, wenn ich große Zweifel habe.","Normalmente, os adultos xingam quando eu duvido de muita coisa.",通常情况下，当我有很多怀疑的时候，大人就会骂人。
l1e3 15,,"Yarr,<pause:0.5> don’t you worry, young sailor,<pause:0.5> and come back anytime!","Йарр,<pause:0.5> не переживай, юнга,<pause:0.5> и приходи еще!","¡Yarr,<pause:0.5> no te preocupes, joven marinero,<pause:0.5> y vuelve cuando quieras!","Yarr,<pause:0.5> ne t'inquiète pas, jeune marin,<pause:0.5> et reviens quand tu veux !","Yarr, keine Sorge, junger Seemann, komm jederzeit wieder!","Yarr,<pause:0.5> não se preocupe, jovem marinheiro,<pause:0.5> e volte quando quiser!","Yarr,<pause:0.5> 别担心，年轻的水手,<pause:0.5> 随时欢迎回来！"
l1e3 16,,You’re awesome!,Вы крутой!,¡Eres increíble!,Tu es génial !,Du bist großartig!,Você é incrível!,你太棒了！
l1e3 17,,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> maybe this day<pause:0.75> isn’t so bad after all.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Хм,<pause:0.75> а этот день<pause:0.75> не так уж и плох.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> tal vez este día<pause:0.75> no sea tan malo después de todo.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> peut-être que cette journée<pause:0.75> n’est pas si mauvaise après tout.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> vielleicht ist dieser Tag<pause:0.75> doch nicht so schlimm.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Hm,<pause:0.75> talvez este dia<pause:0.75> não seja tão ruim afinal.",<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 嗯，<pause:0.75> 也许今天<pause:0.75> 也没那么糟糕。
l1e3 18,,"Hey,<pause:0.5> Red,<pause:0.5> come on,<pause:0.5> we need to talk.","Эй,<pause:0.5> Рыжий,<pause:0.5> пойдем,<pause:0.5> надо обсудить кое-что.","Oye,<pause:0.5> Rojo,<pause:0.5> vamos,<pause:0.5> necesitamos hablar.","Hé,<pause:0.5> Rouge,<pause:0.5> allez,<pause:0.5> on doit parler.","Hey, Red, komm schon, wir müssen reden.","Ei, <pause:0.5> Vermelho, <pause:0.5> vamos lá, <pause:0.5> precisamos conversar.",嘿，<pause:0.5> 红，<pause:0.5> 来吧，<pause:0.5> 我们需要谈谈。
l1e4 1,,"Hi, Red.","Привет, Рыжий.",Contratado.,Embauché.,"Hallo, Red.",Contratado.,嗨，Red。
l1e4 2,,"Hi, Stan.","Привет, Стэн.","Hola, Stan.",Salut Stan.,Hallo Stan.,"Olá, Stan.",嗨，斯坦。
l1e4 3,,My eyes are lower.,Мои глаза ниже.,Mis ojos están más abajo.,Mes yeux sont plus bas.,Meine Augen sitzen tiefer.,Meus olhos estão mais baixos.,我的眼睛位置比较低。
l1e4 4,,Oh.,Ой.,Oh.,Oh.,Oh.,Oh.,哦。
l1e4 5,,"Yeah,<pause:0.75> that’s better.","Да,<pause:0.75> так лучше.","Sí,<pause:0.75> eso está mejor.","Ouais,<pause:0.75> c'est mieux.","Ja, <pause:0.75> ist besser.","Sim,<pause:0.75> isso é melhor.",是的，<pause:0.75> 这样好多了。
l1e4 6,,So what did you want?,Так ты чего хотел?,Entonces ¿qué querías?,"Alors, que vouliez-vous ?",Was wollten Sie also?,"Então, o que você queria?",所以你想要什么？
l1e4 7,,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> I have to go out into the dining area in a minute.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Мне сейчас придется выйти в зал.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Tengo que salir al comedor en un minuto.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Je dois aller dans la salle à manger dans une minute.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ich muss gleich in den Essbereich gehen.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Preciso ir até a área de jantar em um minuto.,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 我马上要去餐厅。
l1e4 8,,What?!<pause:0.75> No!<pause:0.75> I object!,Что?!<pause:0.75> Нет!<pause:0.75> Я против!,¡¿Qué?!<pause:0.75> ¡No!<pause:0.75> ¡Me opongo!,Quoi ?!<pause:0.75> Non !<pause:0.75> Je m'y oppose !,Was?!<pause:0.75> Nein!<pause:0.75> Ich erhebe Einspruch!,O quê?!<pause:0.75> Não!<pause:0.75> Eu me oponho!,什么？！__占位符0__ 不！__占位符1__ 我反对！
l1e4 9,,The Captain said he’d have me fed to the fish<pause:0.5> if I don’t do it.,"Капитан сказал, что пустит меня на корм рыбам,<pause:0.5> если я этого не сделаю.",El capitán dijo que me arrojaría a la basura si no lo hacía.,Le capitaine a dit qu'il me donnerait en pâture aux poissons<pause:0.5> si je ne le faisais pas.,"Der Kapitän sagte, er würde mich den Fischen zum Fraß vorwerfen lassen, wenn ich es nicht tue.",O capitão disse que me daria de comer aos peixes se eu não o fizesse.,船长说如果我不照做，他就把我喂鱼<pause:0.5>。
l1e4 10,,"I’m not entirely sure what that means in plain English,<pause:0.5> but I’m certain it’s nothing good.","Я не знаю, что это именно значит в переводе на нормальный,<pause:0.5> но наверняка ничего хорошего.","No estoy completamente seguro de qué significa eso en inglés sencillo,<pause:0.5> pero estoy seguro de que no es nada bueno.","Je ne suis pas tout à fait sûr de ce que cela signifie en clair, mais je suis certain que ce n'est rien de bon.","Ich bin mir nicht ganz sicher, was das in einfachen Worten bedeutet, aber ich bin mir sicher, dass es nichts Gutes ist.","Não tenho certeza do que isso significa em termos simples, mas tenho certeza de que não é nada bom.",我不太确定这用通俗易懂的英语来说是什么意思，<pause:0.5>，但我确信这不是什么好事。
l1e4 11,,But the kids go crazy for Peg-Leg Joe!,Но дети без ума от Хромого Джо!,¡Pero los niños se vuelven locos por Peg-Leg Joe!,Mais les enfants adorent Joe à la jambe de bois !,Aber die Kinder sind ganz verrückt nach Peg-Leg Joe!,Mas as crianças ficam loucas pelo Joe Perneta!,但孩子们都非常喜欢独腿乔！
l1e4 12,,They’ll tear this place apart if they see you in the costume!,"Они здесь все разнесут, если увидят тебя в костюме!",¡Destrozarán este lugar si te ven con ese disfraz!,Ils vont tout saccager s'ils te voient déguisé !,"Die werden diesen Laden verwüsten, wenn sie dich in dem Kostüm sehen!",Eles vão destruir este lugar se te virem com a fantasia!,如果他们看到你穿这身衣服，他们会把这里拆得七零八落的！
l1e4 13,,I won’t be able to handle that many customers!,Я не смогу обслужить столько народу!,¡No podré atender a tantos clientes!,Je ne pourrai pas gérer autant de clients !,"Ich werde nicht in der Lage sein, so viele Kunden zu bedienen!",Não vou conseguir atender tantos clientes!,我应付不了那么多顾客！
l1e4 14,,We need at least three people on the register to keep up!,"За кассой должно работать хотя бы трое, чтобы мы могли потянуть это!",¡Necesitamos al menos tres personas en el registro para mantener el ritmo!,Il nous faut au moins trois personnes à la caisse pour pouvoir suivre le rythme !,"Wir brauchen mindestens drei Personen an der Kasse, um den Betrieb aufrechtzuerhalten!",Precisamos de pelo menos três pessoas no caixa para dar conta da demanda!,我们至少需要三个人在收银台工作才能跟上进度！
l1e4 15,,And I’m on my own today!<pause:0.75> Remember what happened last time!,"А я сегодня один!<pause:0.75> Вспомни, что было в прошлый раз!",¡Y hoy estoy solo!<pause:0.75> ¡Recuerda lo que pasó la última vez!,Et je suis tout seul aujourd'hui !<pause:0.75> Souvenez-vous de ce qui s'est passé la dernière fois !,"Und heute bin ich auf mich allein gestellt!<pause:0.75> Erinnert euch, was letztes Mal passiert ist!",E hoje estou sozinha!<pause:0.75> Lembra o que aconteceu da última vez!,今天我一个人！<pause:0.75> 还记得上次发生了什么吗！
l1e4 16,,I know.<pause:0.75> That’s why I came to talk it through.,"Я знаю.<pause:0.75> Поэтому я пришел обсудить, что делать.",Lo sé.<pause:0.75> Por eso vine a hablarlo.,Je sais.<pause:0.75> C’est pourquoi je suis venu en discuter.,"Ich weiß. Deshalb bin ich ja gekommen, um darüber zu sprechen.",Eu sei.<pause:0.75> É por isso que vim conversar sobre isso.,我知道。所以我才来和你好好谈谈。
l1e4 17,,"So,<pause:0.5> do you actually have a plan?","И что,<pause:0.5> у тебя уже есть идеи?","Entonces,<pause:0.5> ¿realmente tienes un plan?","Alors,<pause:0.5>, avez-vous réellement un plan ?","Also,<pause:0.5>, haben Sie eigentlich einen Plan?","Então, você realmente tem um plano?",所以，<pause:0.5>，你真的有计划吗？
l1e4 18,,"Yes,<pause:0.5> movie night.<pause:0.5> You draw the curtains,<pause:0.5> turn on the projector,<pause:0.5> and I’ll make sure everyone keeps it down.","Да,<pause:0.5> киновечер.<pause:0.5> Ты зашторишь окна,<pause:0.5> включишь проектор,<pause:0.5> а я буду убеждать прибывших вести себя потише.","Sí,<pause:0.5> noche de película.<pause:0.5> Tú corres las cortinas,<pause:0.5> enciendes el proyector,<pause:0.5> y yo me aseguraré de que todos mantengan el volumen bajo.","Oui,<pause:0.5> soirée cinéma.<pause:0.5> Tu tires les rideaux,<pause:0.5> tu allumes le projecteur,<pause:0.5> et je veillerai à ce que tout le monde fasse moins de bruit.","Ja, Filmabend. Du ziehst die Vorhänge zu, du schaltest den Projektor ein, und ich sorge dafür, dass alle leise sind.","Sim, noite de cinema. Você fecha as cortinas, liga o projetor e eu garanto que todos façam silêncio.",是的，<pause:0.5> 电影之夜。<pause:0.5> 你拉上窗帘，<pause:0.5> 打开投影仪，<pause:0.5> 我会确保每个人都保持安静。
l1e4 19,,"Movie night, huh.","Киновечер, говоришь.","Noche de película, ¿eh?","Soirée cinéma, hein ?","Filmabend, hm.","Noite de cinema, hein?",今晚看电影啊。
l1e4 20,,That means I’ll have to take on the evening menu with the cocktails.<pause:0.75> That won’t be easy.,Придется взять на себя вечернее меню с коктейлями.<pause:0.75> Будет трудновато.,Eso significa que tendré que encargarme del menú de la noche con los cócteles.<pause:0.75> Eso no será fácil.,Cela signifie que je vais devoir m’occuper du menu du soir avec les cocktails.<pause:0.75> Ce ne sera pas facile.,"Das bedeutet, ich muss mich um die Abendkarte inklusive Cocktails kümmern. Das wird nicht einfach.",Isso significa que terei que assumir o menu noturno com os coquetéis.<pause:0.75> Isso não será fácil.,这意味着我得负责晚间菜单和鸡尾酒了。这可不容易。
l1e4 21,,Still easier than if all the kids from all over the neighborhood come running here at once.,"Все еще проще, чем, если сюда разом сбежится вся ребятня со всей округи.",Aún es más fácil que si todos los niños de todo el vecindario vinieran corriendo aquí a la vez.,C'est quand même plus simple que si tous les enfants du quartier accouraient ici en même temps.,"Immer noch einfacher, als wenn alle Kinder aus der ganzen Nachbarschaft gleichzeitig hierher gerannt kämen.","Ainda assim, é mais fácil do que se todas as crianças da vizinhança viessem correndo para cá ao mesmo tempo.",但这总比附近所有孩子同时跑过来要容易得多。
l1e4 22,,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Yeah,<pause:0.5> you’re right.<pause:0.75> You’re a genius, Stan.<pause:0.75> Let’s do it.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Да,<pause:0.5> ты прав.<pause:0.75> Да ты гений, Стэн.<pause:0.75> Так и сделаем.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Sí,<pause:0.5> tienes razón.<pause:0.75> Eres un genio, Stan.<pause:0.75> Hagámoslo.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ouais,<pause:0.5> tu as raison.<pause:0.75> Tu es un génie, Stan.<pause:0.75> Faisons-le.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ja,<pause:0.5> du hast Recht.<pause:0.75> Du bist ein Genie, Stan.<pause:0.75> Los geht's.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> É,<pause:0.5> você tem razão.<pause:0.75> Você é um gênio, Stan.<pause:0.75> Vamos fazer isso.",<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 是的，<pause:0.5> 你说得对。<pause:0.75> 你真是个天才，斯坦。<pause:0.75> 我们开始吧。
l1e4 23,,Deal.,Договорились.,Trato.,Accord.,Handeln.,Negócio.,交易。
l1e5 1,,"Alright,<pause:0.75> let’s try this.<pause:1> 3,<pause:1> 2<pause:1> 1.<pause:1> Go!","Хорошо,<pause:0.75> давай попробуем.<pause:1> 3,<pause:1> 2,<pause:1> 1.<pause:1> Поехали!","Muy bien,<pause:0.75> probemos esto.<pause:1> 3,<pause:1> 2<pause:1> 1.<pause:1> ¡Vamos!","Très bien,<pause:0.75> essayons ceci.<pause:1> 3,<pause:1> 2<pause:1> 1.<pause:1> Allez !","Okay, versuchen wir es mal. Los!","Muito bem, vamos tentar isto. Vamos lá!",好的，<pause:0.75>，我们来试试这个。<pause:1> 3，<pause:1> 2，<pause:1> 1，<pause:1> 开始！
l1e5 2,,"Oh my gosh,<pause:0.4> it’s Peg-Leg Joe!","О боже,<pause:0.4> это же Хромой Джо!","Oh Dios mío,<pause:0.4> ¡es Peg-Leg Joe!","Oh mon Dieu,<pause:0.4> c'est Joe à la jambe de bois !","Oh mein Gott, <pause:0.4> es ist Peg-Leg Joe!","Meu Deus,<pause:0.4> é o Joe Perna-de-Pau!",我的天哪，<pause:0.4>，是独腿乔！
l1e5 3,,"Yay,<pause:0.4> Peg-Leg Joe!<pause:0.4> Give me a ride!!!","Ура,<pause:0.4> Хромой Джо!<pause:0.4> Покатай меня!!!","Yay,<pause:0.4> ¡Joe Pata de Palo!<pause:0.4> ¡¡¡Dame un aventón!!!","Hourra, Joe la Jambe de Bois ! Emmène-moi faire un tour !!!","Juhu, Peg-Leg Joe! Nimm mich mit!!!","Eba, Joe Perneta! Me dá uma carona!!!",耶，<pause:0.4> 独腿乔！<pause:0.4> 带我兜风！！！
l1e5 4,,Me too!!!,И меня!!!,¡¡¡Yo también!!!,Moi aussi!!!,Ich auch!!!,Eu também!!!,我也是！！！
l1e5 5,,"Yarr!<pause:0.75> Peg-Leg Joe isn’t feeling his best today,<pause:0.4> so we’re going to keep it quiet.","Йарр!<pause:0.75> Сегодня Хромой Джо себя не важно чувствует,<pause:0.4> так что шуметь мы сегодня не будем.","¡Sí!<pause:0.75> Peg-Leg Joe no se siente muy bien hoy,<pause:0.4> así que lo mantendremos en secreto.","Yarr!<pause:0.75> Joe Jambe de Bois ne se sent pas au mieux de sa forme aujourd'hui,<pause:0.4> alors on va garder ça pour nous.","Arrr!<pause:0.75> Peg-Leg Joe fühlt sich heute nicht so gut,<pause:0.4> deshalb werden wir es geheim halten.","Arrr!<pause:0.75> O Joe Perneta não está se sentindo muito bem hoje,<pause:0.4> então vamos manter isso em segredo.",Yarr！<pause:0.75> 独腿乔今天身体不太舒服，<pause:0.4> 所以我们还是保持沉默吧。
l1e5 6,,"Aww,<pause:0.75> that’s not fair!",Ну блииин!<pause:0.75> Не честно!,"Awww,<pause:0.75> ¡eso no es justo!","Oh,<pause:0.75> ce n'est pas juste !","Oh, das ist nicht fair!","Ah,<pause:0.75> isso não é justo!",哎呀，<pause:0.75>，这不公平！
l1e5 7,,I thought we were going to have fun.,Я думал мы повеселимся.,Pensé que nos íbamos a divertir.,Je pensais qu'on allait s'amuser.,"Ich dachte, wir würden Spaß haben.",Pensei que íamos nos divertir.,我以为我们会玩得很开心。
l1e5 8,,"Don’t worry, young sailor,<pause:0.75> we don’t have to be loud to have fun!","Не переживай, юнга,<pause:0.75> нам не обязательно шуметь, чтобы веселиться!","No te preocupes, joven marinero, ¡no tenemos que ser ruidosos para divertirnos!","Ne t'inquiète pas, jeune marin,<pause:0.75> on n'a pas besoin de faire du bruit pour s'amuser !","Keine Sorge, junger Matrose, wir müssen nicht laut sein, um Spaß zu haben!","Não se preocupe, jovem marinheiro, não precisamos fazer barulho para nos divertirmos!",别担心，年轻的水手，我们不必大声喧哗也能玩得开心！
l1e5 9,,"For example,<pause:0.75> we could watch a cartoon!","Например,<pause:0.75> мы можем посмотреть мультик!","Por ejemplo,<pause:0.75> ¡podríamos ver una caricatura!","Par exemple,<pause:0.75> nous pourrions regarder un dessin animé !",Zum Beispiel könnten wir uns einen Zeichentrickfilm ansehen!,"Por exemplo, poderíamos assistir a um desenho animado!",例如，<pause:0.75> 我们可以看动画片！
l1e5 10,,Cartoons are good.,Мультик - это хорошо.,Los dibujos animados son buenos.,"Les dessins animés, c'est bien.",Cartoons sind gut.,Desenhos animados são bons.,动画片很好。
l1e5 11,,Only if it’s interesting!,"Только, если интересный!",¡Sólo si es interesante!,Seulement si c'est intéressant !,Nur wenn es interessant ist!,Só se for interessante!,只有有趣才行！
l1e5 12,,I hope<pause:0.5> there’s a starfish in it...,"Надеюсь,<pause:0.5> в нем будет морская звезда...",Espero<pause:0.5> que haya una estrella de mar dentro...,J'espère qu'il y a une étoile de mer dedans...,"Ich hoffe, da ist ein Seestern drin...",Espero que haja uma estrela-do-mar nisso...,我希望里面有只海星……
l1e5 13,,"Yarr,<pause:0.75> of course it’s interesting!<pause:0.75> But we’ll be watching it quietly.<pause:0.5> Deal, young sailors?","Йарр,<pause:0.75> конечно, интересный!<pause:0.75> Но мы будем его смотреть в тишине.<pause:0.5> Договорились, юнги?","¡Yarr,<pause:0.75> por supuesto que es interesante!<pause:0.75> Pero lo estaremos viendo en silencio.<pause:0.5> ¿Trato hecho, jóvenes marineros?","Yarr,<pause:0.75> bien sûr que c'est intéressant !<pause:0.75> Mais nous allons le regarder discrètement.<pause:0.5> Marché conclu, jeunes marins ?","Arrr, natürlich ist das interessant! Aber wir werden es uns im Stillen ansehen. Abgemacht, junge Matrosen?","Yarr,<pause:0.75> claro que é interessante!<pause:0.75> Mas vamos assistir em silêncio.<pause:0.5> Combinado, jovens marinheiros?",呀，当然有意思啦！不过我们会默默观察的。怎么样，小伙子们？
l1e5 14,,Deal!,Договорились!,¡Trato!,Accord!,Handeln!,Negócio!,交易！
l1e5 15,,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> It worked!<pause:0.75> No crowd showed up!,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Сработало!<pause:0.75> Никакой толпы не набежало!,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> ¡Funcionó!<pause:0.75> ¡No apareció gente!,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ça a marché !<pause:0.75> Personne n'est venu !,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Es hat funktioniert!<pause:0.75> Es kam keine Zuschauermenge!,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Funcionou!<pause:0.75> Ninguém apareceu!,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 成功了！<pause:0.75> 没有观众！
l1e5 16,,Told you!<pause:0.75> A foolproof plan!,Я же говорил!<pause:0.75> План-капкан!,¡Te lo dije!<pause:0.75> ¡Un plan infalible!,Je vous l'avais dit !<pause:0.75> Un plan infaillible !,Hab ich's doch gesagt!<pause:0.75> Ein narrensicherer Plan!,Eu te disse!<pause:0.75> Um plano infalível!,早就跟你说了！<pause:0.75> 一个万无一失的计划！
l1e5 17,,Now there’s only one thing left.<pause:0.75> Back to work!,Дело остается за малым.<pause:0.75> За работу!,Ahora sólo queda una cosa.<pause:0.75> ¡De vuelta al trabajo!,Il ne reste plus qu'une chose à faire.<pause:0.75> Retour au travail !,Jetzt bleibt nur noch eins übrig.<pause:0.75> Zurück an die Arbeit!,Agora só falta uma coisa.<pause:0.75> De volta ao trabalho!,现在只剩最后一件事了。<pause:0.75> 回去工作！
l1e5 18,,"Phew,<pause:0.5> young sailors,<pause:0.5> who else wants some ice cream?","Фух,<pause:0.5> юнги,<pause:0.5> кому еще мороженое?","Ufff,<pause:0.5> jóvenes marineros,<pause:0.5> ¿quién más quiere un poco de helado?","Ouf,<pause:0.5> jeunes marins,<pause:0.5> qui d'autre veut de la glace ?","Puh, junge Matrosen, wer möchte noch ein Eis?","Ufa, jovens marinheiros, quem mais quer um sorvete?",呼，<pause:0.5>年轻的水手们，<pause:0.5>还有谁想吃冰淇淋？
l1e5 19,,<volume:0>...,<volume:0>...,__MARCADOR_0__...,<volume:0>...,<volume:0>...,<volume:0>...,<volume:0>...
l1e5 20,,Looks like<pause:0.5> you already handled everything.,"Кажется,<pause:0.5> ты переработал всю работу.",Parece que<pause:0.5> ya te encargaste de todo.,On dirait que vous avez déjà tout géré.,"Sieht so aus, als hätten Sie bereits alles erledigt.",Parece que você já cuidou de tudo.,看起来<pause:0.5>你已经处理好一切了。
l1e5 21,,Could you please keep it down?,"Можно, пожалуйста, потише?","¿Podrías mantenerlo en voz baja, por favor?","Pourriez-vous baisser le volume, s'il vous plaît ?",Könnten Sie bitte leiser sein?,"Você poderia, por favor, falar mais baixo?",请您小声点好吗？
l1e5 22,,<volume:1>We’re trying to watch.,<volume:1>Мы тут вообще-то смотрим.,<volume:1>Estamos intentando mirar.,<volume:1>Nous essayons de regarder.,<volume:1>Wir versuchen zuzusehen.,<volume:1>Estamos tentando assistir.,<volume:1>我们正在尝试观看。
l1e5 23,,"Oh,<pause:0.5> sorry.","Ой,<pause:0.5> извините.","Oh,<pause:0.5> lo siento.","Oh,<pause:0.5> désolé.","Oh,<pause:0.5> Entschuldigung.","Ah, desculpe.",哦，<pause:0.5> 抱歉。
l1e5 24,,"Oh, come on!","Ну, блииин!","¡Oh, vamos!","Oh, allez !","Ach, komm schon!","Ah, qual é!",哦，拜托！
l1e5 25,,"Hey,<pause:0.5> we weren’t done watching!","Эй,<pause:0.5> мы же не досмотрели!","Oye,<pause:0.5> ¡no habíamos terminado de mirar!","Hé,<pause:0.5>, on n'avait pas fini de regarder !","Hey,<pause:0.5>, wir waren noch nicht fertig mit dem Zuschauen!","Ei, <pause:0.5> nós ainda não tínhamos terminado de assistir!",嘿，<pause:0.5>，我们还没看完呢！
l1e5 26,,"<volume:0.5>Yarr!<pause:0.5> What do you think you’re doing here, swabbies?","<volume:0.5>Йарр!<pause:0.5> Вы что здесь устроили, салаги?","<volume:0.5>¡Yarr!<pause:0.5> ¿Qué creen que están haciendo aquí, marineros?","<volume:0.5>Yarr!<pause:0.5> Qu'est-ce que vous croyez faire ici, les matelots ?","<volume:0.5>Yarr!<pause:0.5> Was glaubt ihr eigentlich, was ihr hier tut, ihr Matrosen?","<volume:0.5>Yarr!<pause:0.5> O que vocês pensam que estão fazendo aqui, marinheiros?",<volume:0.5>呀！<pause:0.5>你们这些水兵在这里干什么？
l1e5 27,,"I told you to send out Peg-Leg Joe, not for you to hang around here!","Я сказал выпускать Хромого Джо, не для того, чтобы вы здесь прохлаждались!","¡Te dije que enviaras a Peg-Leg Joe, no que te quedaras aquí deambulando!","Je t'avais dit d'envoyer Peg-Leg Joe, pas de rester ici à traîner !","Ich habe dir gesagt, du sollst Peg-Leg Joe losschicken, nicht, dass du hier herumhängst!","Eu disse para você mandar o Joe Perneta, não para você ficar aqui parado!",我不是让你派独腿乔出去，而是让你留在这里！
